"FieldName","ValidationStatus","ClassName","ModelClass","LineContent","LineNo","FilePath","RepoName"
"transactionresponse.rrn","VALID","ElavonResponseToMegaJsonMapper","TransactionResponse",".ifPresent( rrnResult -> response.transactionResponse().rrn( rrnResult ) );","150","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.acquirercscresponsecode","VALID","ElavonResponseToMegaJsonMapper","TransactionResponse","cvvResult -> response.transactionResponse().acquirerCscResponseCode( cvvResult ) );","187","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.acquireravsresponsecode","VALID","ElavonResponseToMegaJsonMapper","TransactionResponse","aavResult -> response.transactionResponse().acquirerAvsResponseCode( aavResult ) );","217","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction.cardtype.mc","NOT_IN_CONVENTIONS","ElavonResponseToMegaJsonMapper","Transaction","&& EnumSet.of( Transaction.CardType.MC, Transaction.CardType.MS )","249","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction.cardtype","VALID","ElavonResponseToMegaJsonMapper","Transaction",".contains( i.getTransactionRequest().transaction().cardType() ) ) {","250","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction.cardtype.dc","NOT_IN_CONVENTIONS","ElavonResponseToMegaJsonMapper","Transaction","&& EnumSet.of( Transaction.CardType.DC, Transaction.CardType.DS )","263","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction.cardtype","VALID","ElavonResponseToMegaJsonMapper","Transaction",".contains( i.getTransactionRequest().transaction().cardType() ) ) {","264","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction.cardtype.vc","NOT_IN_CONVENTIONS","ElavonResponseToMegaJsonMapper","Transaction","&& EnumSet.of( Transaction.CardType.VC, Transaction.CardType.VD )","277","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction.cardtype","VALID","ElavonResponseToMegaJsonMapper","Transaction",".contains( i.getTransactionRequest().transaction().cardType() ) ) {","278","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction.cardtype.vc","NOT_IN_CONVENTIONS","ElavonResponseToMegaJsonMapper","Transaction","&& EnumSet.of( Transaction.CardType.VC, Transaction.CardType.VD )","292","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction.cardtype","VALID","ElavonResponseToMegaJsonMapper","Transaction",".contains( i.getTransactionRequest().transaction().cardType() ) ) {","293","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction.cardtype.vc","NOT_IN_CONVENTIONS","ElavonResponseToMegaJsonMapper","Transaction","&& EnumSet.of( Transaction.CardType.VC, Transaction.CardType.VD )","307","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction.cardtype","VALID","ElavonResponseToMegaJsonMapper","Transaction",".contains( i.getTransactionRequest().transaction().cardType() ) ) {","308","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.transactionreceipt","VALID","ElavonResponseToMegaJsonMapper","TransactionResponse",".ifPresent( result -> response.transactionResponse().transactionReceipt( result ) );","321","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.acquirerresponsecode","VALID","ElavonResponseToMegaJsonMapper","TransactionResponse","if ( response.transactionResponse().acquirerResponseCode().equalsIgnoreCase( ""79"" ) ) {","336","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.acquirerresponsecode","VALID","ElavonResponseToMegaJsonMapper","TransactionResponse","else if ( response.transactionResponse().acquirerResponseCode().equalsIgnoreCase( ""82"" ) ) {","340","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.acquirerresponsecode","VALID","ElavonResponseToMegaJsonMapper","TransactionResponse","else if ( response.transactionResponse().acquirerResponseCode().equalsIgnoreCase( ""83"" ) ) {","344","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.merchantadvicecode","VALID","ElavonResponseToMegaJsonMapper","TransactionResponse","response.transactionResponse().merchantAdviceCode( merchantAdviceCode.get() );","348","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.transactionresponse.avsresponsecode","NOT_IN_CONVENTIONS","ElavonResponseToMegaJsonMapper","TransactionResponse","static final Map<String, com.mastercard.gateway.acquiring.megajson.transactionresponse.TransactionResponse.AvsResponseCode> AVS_MAPPINGS = new HashMap<>();","374","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction","NOT_IN_CONVENTIONS","ElavonResponseToMegaJsonMapper","Transaction","""Elavon Token Error – unable to process Tokenised Transaction. Please check Token data and retry."" ) );","438","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"routingheader.actiontype","VALID","ElavonResponseToMegaJsonMapper","RoutingHeader","ActionType actionType = i.getTransactionRequest().routingHeader().actionType();","719","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"merchantcontext.acquirer.acquirercustomfields","NOT_IN_CONVENTIONS","ElavonTxnContext","AcquirerCustomFields",".merchantAcquirerRelationship().merchantAcquirerCustomFields().customRules() )","60","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonTxnContext.java","acqelavons2aservice"
"transaction.acceptpartialapproval","VALID","ElavonTxnContext","Transaction","return Optional.ofNullable( transactionRequest.transaction().acceptPartialApproval() )","73","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonTxnContext.java","acqelavons2aservice"
"transaction.ordercertainty","VALID","MegaJsonToElavonMessageMapper","Transaction","if ( ESTIMATED == transactionContext.request().transaction().orderCertainty() ) {","67","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.cardnumber","VALID","MegaJsonToElavonMessageMapper","Transaction","isoMessage.set( getFieldId(), transactionContext.request().transaction().cardNumber() );","104","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.ordercertainty","VALID","MegaJsonToElavonMessageMapper","Transaction","if ( ESTIMATED == transactionContext.request().transaction().orderCertainty() ) {","117","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.ordercertainty","VALID","MegaJsonToElavonMessageMapper","Transaction","if ( ESTIMATED == transactionContext.request().transaction().orderCertainty() ) {","123","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.ordercertainty","VALID","MegaJsonToElavonMessageMapper","Transaction","if ( ESTIMATED == transactionContext.request().transaction().orderCertainty() ) {","130","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.ordercertainty","VALID","MegaJsonToElavonMessageMapper","Transaction","&& ESTIMATED == transactionContext.request().transaction().orderCertainty() ) {","136","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"routingheader.action.refund_authorization","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","RoutingHeader","if ( RoutingHeader.Action.REFUND_AUTHORIZATION","144","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"routingheader.action","VALID","MegaJsonToElavonMessageMapper","RoutingHeader",".equals( transactionContext.request().routingHeader().action() ) ) {","145","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.stan","VALID","MegaJsonToElavonMessageMapper","Transaction","String stan = Optional.ofNullable( transactionContext.request().transaction().stan() )","184","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.cardexpirydate","VALID","MegaJsonToElavonMessageMapper","Transaction","isoMessage.set( getFieldId(), transactionContext.request().transaction().cardExpiryDate() );","216","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.cardtype.vc","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","Transaction","EnumSet<Transaction.CardType> supportedCardType = EnumSet.of( Transaction.CardType.VC,","251","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.cardtype.vd","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","Transaction","Transaction.CardType.VD, Transaction.CardType.MC, Transaction.CardType.MS );","252","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.cardtype.ae","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","Transaction","supportedCardType.addAll( EnumSet.of( Transaction.CardType.AE, Transaction.CardType.DC,","254","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.cardtype.ds","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","Transaction","Transaction.CardType.DS ) );","255","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.walletprovider.android_pay","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","Transaction",".of( Transaction.WalletProvider.APPLE_PAY, Transaction.WalletProvider.ANDROID_PAY )","261","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"routingheader.action.refund_authorization","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","RoutingHeader","if ( RoutingHeader.Action.REFUND_AUTHORIZATION","304","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"routingheader.action","VALID","MegaJsonToElavonMessageMapper","RoutingHeader",".equals( transactionContext.request().routingHeader().action() ) ) {","305","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.rrn","VALID","MegaJsonToElavonMessageMapper","Transaction","isoMessage.set( getFieldId(), transactionContext.request().transaction().rrn() );","393","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.associatedtransaction.authorisationid","VALID","MegaJsonToElavonMessageMapper","AssociatedTransaction","transactionContext.request().transaction().associatedTransaction().authorisationId() );","403","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.terminalid","VALID","MegaJsonToElavonMessageMapper","Transaction","isoMessage.set( getFieldId(), transactionContext.request().transaction().terminalId() );","412","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchantacquirerrelationship","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","MerchantContext","transactionContext.request().merchantContext().merchantAcquirerRelationship()","421","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","MerchantContext","Merchant m = transactionContext.request().merchantContext().merchant();","430","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant.id","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","Merchant",".hasAll( s -> m.subMerchant(), SubMerchant::id, SubMerchant::tradingName,","433","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant.stateprovince","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","Merchant","SubMerchant::stateProvince ) ) {","434","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant.submerchant","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","Merchant","Optional.ofNullable( m.subMerchant().street() ).orElse( """" ) );","437","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant.street2","VALID","MegaJsonToElavonMessageMapper","Merchant","if ( m.subMerchant().street2() != null ) {","438","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant.street2","VALID","MegaJsonToElavonMessageMapper","Merchant","street.append( "" "" + m.subMerchant().street2() );","439","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant.submerchant","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","Merchant","StringUtils.trimToEmpty( m.subMerchant().tradingName() ),","442","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant.city","VALID","MegaJsonToElavonMessageMapper","Merchant","StringUtils.trimToEmpty( m.subMerchant().city() ),","443","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant.submerchant","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","Merchant","StringUtils.trimToEmpty( m.subMerchant().country() ),","444","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
